7785,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,12-1261; 
7786,None,Tax Division; ,12-1260; 
7787,None,Criminal Division; ,12-1259; 
7788,StopFraud; ,Antitrust Division; ,12-1258; 
7789,None,Criminal Division; ,12-1257; 
7790,None,Criminal Division; ,12-1256; 
7791,None,Tax Division; ,12-1255; 
7792,None,Tax Division; ,12-1254; 
7793,None,Criminal Division; ,12-1253; 
7794,None,Antitrust Division; ,12-1252; 
7795,Consumer Protection; ,Office of the Attorney General; ,12-1249; 
7796,None,Office of the Attorney General; ,12-1251; 
7797,None,Antitrust Division; ,12-1250; 
7798,None,Environment and Natural Resources Division; ,12-1248; 
7799,None,Tax Division; ,12-1247; 
7800,None,Office of Public Affairs; ,12-1245; 
7801,None,Criminal Division; ,12-1244; 
7802,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,12-1243; 
7803,None,Criminal Division; ,12-1242; 
7804,None,Criminal Division; ,12-1241; 
7805,None,Civil Rights Division; ,12-1240; 
7806,None,Criminal Division; ,12-1239; 
7807,None,Civil Division; ,12-1238; 
7808,None,Tax Division; ,12-1237; 
7809,Indian Country Law and Justice; ,Office of the Attorney General; ,12-1234; 
7810,None,Criminal Division; ,12-1235; 
7811,None,Criminal Division; ,12-1231; 
7812,None,Criminal Division; ,12-1230; 
7813,None,Criminal Division; ,12-1229; 
7814,None,Civil Rights Division; ,12-1233; 
7815,None,Criminal Division; ,12-1228; 
7816,None,Criminal Division; ,12-1227; 
7817,None,Civil Rights Division; Civil Rights - Disability Rights Section; ,12-1225; 
7818,None,Civil Rights Division; ,12-1224; 
7819,Consumer Protection; ,Civil Division; ,12-1223; 
7820,None,Criminal Division; ,12-1222; 
7821,None,Civil Rights Division; ,12-1221; 
7822,None,Criminal Division; ,12-1220; 
7823,None,Environment and Natural Resources Division; ,12-1219; 
7824,None,Civil Rights Division; Civil Rights - Housing and Civil Enforcement Section; ,12-1218; 
7825,Consumer Protection; ,Civil Division; ,12-1217; 
7826,StopFraud; ,Office of the Attorney General; ,12-1216; 
7827,None,Criminal Division; ,12-1214; 
